"Ma Phong","Ma Khach Hang","Tang","Gia Phong","Ngay Dat Phong","Ngay Tra Phong","Trang Thai","Suc Chua"
"101","null","1","200000.0","24-12-2024","30-12-2024","da dat truoc","2"
"102","null","1","300000.0","null","30-04-2024","dang su dung","3"
"103","1003","1","400000.0","null","null","trong","4"
"104","null","1","200000.0","null","null","trong","2"
"105","null","1","300000.0","null","null","trong","3"
"106","null","1","400000.0","null","null","trong","4"
"107","1007","1","200000.0","null","null","trong","2"
"108","null","1","300000.0","null","null","trong","3"
"109","null","1","400000.0","01-08-2024","null","da dat truoc","4"
"110","null","1","200000.0","null","null","trong","2"
"201","null","2","200000.0","null","null","trong","2"
"202","null","2","300000.0","null","null","trong","3"
"203","null","2","400000.0","null","null","da dat truoc","4"
"204","null","2","200000.0","null","null","trong","2"
"205","null","2","300000.0","null","null","trong","3"
"206","null","2","400000.0","null","null","trong","4"
"207","null","2","200000.0","null","null","trong","2"
"208","null","2","300000.0","null","null","trong","3"
"209","null","2","400000.0","null","null","trong","4"
"210","null","2","200000.0","null","null","trong","2"
"301","null","3","200000.0","null","null","trong","2"
"302","null","3","300000.0","null","null","da dat truoc","3"
"303","null","3","400000.0","null","null","trong","4"
"304","null","3","200000.0","22-12-2024","null","trong","2"
"305","null","3","300000.0","null","null","trong","3"
"306","null","3","400000.0","null","null","trong","4"
"307","null","3","200000.0","null","null","trong","2"
"308","null","3","300000.0","null","null","trong","3"
"309","null","3","400000.0","null","null","trong","4"
"310","null","3","200000.0","null","null","trong","2"
"401","null","4","200000.0","null","null","trong","2"
"402","null","4","300000.0","null","null","trong","3"
"403","null","4","400000.0","null","null","trong","4"
"404","null","4","200000.0","null","null","trong","2"
"405","null","4","300000.0","null","null","trong","3"
"406","null","4","400000.0","null","null","trong","4"
"407","null","4","200000.0","null","null","trong","2"
"408","null","4","300000.0","null","null","trong","3"
"409","null","4","400000.0","null","null","trong","4"
"410","null","4","200000.0","null","null","trong","2"
"501","null","5","200000.0","null","null","trong","2"
"502","null","5","300000.0","null","null","trong","3"
"503","null","5","400000.0","null","null","trong","4"
"504","null","5","200000.0","null","null","trong","2"
"505","null","5","300000.0","null","null","trong","3"
"506","null","5","400000.0","null","null","trong","4"
"507","null","5","200000.0","null","null","trong","2"
"508","null","5","300000.0","null","null","trong","3"
"509","null","5","400000.0","null","null","trong","4"
"510","null","5","200000.0","null","null","trong","2"
